암호화요양기호,요양기관명,종별코드명,시도코드명,시군구코드명,주소,전화번호,총의사수,난임시술(인공),난임시술(체외),난임시술(전체),제공시술유형
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz,(의)성광의료재단 차여성의원,의원,서울,중구,"서울특별시 중구 한강대로 416, 서울스퀘어 2층 (남대문로5가)",02-2002-0300,21,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQwMyQzNjE4MzIjODEjJDEjJDIjJDgz,W(더블유)여성병원,병원,인천,인천미추홀구,"인천광역시 미추홀구 인주대로 400, 제일여성병원 2층 일부, 3-5층, 8층 (주안동)",032-451-0000,18,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMzUxIzMxIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDgjJDgz,가야자모의원,의원,경남,진주시,"경상남도 진주시 진주대로 869, 5층 (주약동)",055-758-2222,1,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ5MiQyNjEwMDIjNzEjJDEjJDgjJDgz,가양산부인과의원,의원,대전,대전동구,"대전광역시 동구 동대전로 272, 타임빌딩 3층 (가양동)",042-623-7766,1,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE4MzIjNDEjJDEjJDgjJDgz,감자와눈사람여성의원,의원,서울,강서구,"서울특별시 강서구 마곡중앙5로 22, 5층 10층 일부호 (마곡동)",02-467-6727,4,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNTEjJDEjJDYjJDgz,강원대학교병원,종합병원,강원,춘천시,"강원도 춘천시 백령로 156, (효자동)",033-258-2000,172,1,1,1,인공+체외
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5OSQzNjE4MzIjNTEjJDEjJDIjJDgz,검단서울여성의원,의원,인천,인천서구,"인천광역시 서구 원당대로 664, 창신프라자 5층 501-1호 (당하동)",032-566-1992,1,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,경북대학교병원,상급종합,대구,대구중구,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",053-200-5114,221,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz,경상국립대학교병원,상급종합,경남,진주시,"경상남도 진주시 강남로 79, (칠암동)",055-750-8000,188,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,경상북도안동의료원,종합병원,경북,안동시,"경상북도 안동시 태사2길 55,  (북문동)",054-850-6000,31,1,1,1,인공+체외
