암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y),장비코드명,장비대수
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,(의)나사렛의료재단 나사렛국제병원,11,종합병원,220000,인천,220007,인천연수구,동춘동,21972,"인천광역시 연수구 먼우금로 98,  (동춘동)",032-899-9999,http://www.nasaret.co.kr/,2009-12-01,59,1,0,0,53,3,0,0,0,0,0,0,2,0,126.6704928,37.407958,인큐베이터,1
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE4MzIjNTEjJDEjJDIjJDgz,(의)인석의료재단 보람병원,21,병원,260000,울산,260001,울산남구,삼산동,44713,"울산광역시 남구 돋질로336번길 10, (삼산동)",052-278-0114,http://ulsan.imc-boram.co.kr/,1997-04-22,28,2,0,0,26,0,0,0,0,0,0,0,0,0,129.3410075,35.5425577,인큐베이터,3
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,B.M산부인과의원,31,의원,310000,경기,311102,안산상록구,이동,15495,"경기도 안산시 상록구 광덕1로 376, 4층 (이동, 한대빌딩)",031-501-0660,http://www.bmob.co.kr/,2000-08-22,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.8514869,37.3079074,인큐베이터,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ4OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,SC제일산부인과의원,31,의원,110000,서울,110023,광진구,구의동,5031,"서울특별시 광진구 광나루로 506, (구의동)",02-447-3111,http://www.samsungcheil.com,2013-06-04,5,0,0,0,5,0,0,0,0,0,0,0,0,0,127.0856821,37.5447243,인큐베이터,2
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQwMyQzNjE4MzIjODEjJDEjJDIjJDgz,W(더블유)여성병원,21,병원,220000,인천,220001,인천미추홀구,주안동,22227,"인천광역시 미추홀구 인주대로 400, 제일여성병원 2층 일부, 3-5층, 8층 (주안동)",032-451-0000,,2012-11-01,18,1,0,0,17,0,0,0,0,0,0,0,0,0,126.6811652,37.4509653,인큐베이터,4
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQwMyQzNjEwMDIjODEjJDEjJDIjJDgz,W여성병원,21,병원,230000,대구,230005,대구수성구,만촌동,42038,"대구광역시 수성구 화랑로 58, (만촌동)",053-757-2000,,2003-05-19,9,0,0,0,9,0,0,0,0,0,0,0,0,0,128.6339412,35.8708049,인큐베이터,2
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNTEjJDEjJDIjJDgz,가연관악산부인과의원,31,의원,110000,서울,110004,관악구,봉천동,8788,"서울특별시 관악구 남부순환로 1838, (봉천동)",02-885-7900,,2009-01-12,5,0,0,0,5,0,0,0,0,0,0,0,0,0,126.9539797,37.4804451,인큐베이터,1
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ5MiQzNjEwMDIjNDEjJDEjJDQjJDgz,가오플러스산부인과의원,31,의원,250000,대전,250004,대전동구,가오동,34692,"대전광역시 동구 은어송로 63, 5층,6층,7층,8층 (가오동)",042-286-9500,http://www.gaoplus.co.kr/main/,2007-05-09,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.4560317,36.3066737,인큐베이터,1
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNjEjJDEjJDgjJDgz,가톨릭관동대학교 국제성모병원,11,종합병원,220000,인천,220005,인천서구,심곡동,22711,"인천광역시 서구 심곡로100번길 25-0, 인천국제성모병원",032-1600-8291,www.ish.or.kr,2014-01-17,148,0,0,5,138,1,0,0,2,0,0,0,2,0,126.6836103,37.5424165,인큐베이터,11
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,가톨릭대학교 성빈센트병원,1,상급종합,310000,경기,310603,수원팔달구,지동,16247,"경기도 수원시 팔달구 중부대로 93, (지동)",031-1577-8588,http://www.cmcvincent.or.kr/skip.html,1967-05-23,261,1,1,9,243,0,0,0,7,0,0,0,0,0,127.0274271,37.2779855,인큐베이터,18
