연번,시도,기초,센터명,리플릿 번호,주소
1,서울,관악구,관악새일센터,070-4048-7018,"서울특별시 관악구 쑥고개로 75, 광장빌딩1-5층 (청룡동 1564-5)"
2,서울,구로구,구로새일센터,02-867-8833,"서울특별시 구로구 공원로 63, 희훈타워빌 2층 (구로동)"
3,서울,영등포구,영등포새일센터,02-858-4822,"서울특별시 영등포구 영중로 61, 극동빌딩 4,5층 (영등포동6가)"
4,서울,금천구,남부새일센터,02-802-0185,서울특별시 금천구 독산로 50길 23
5,서울,노원구,노원새일센터,02-951-0187,"서울특별시 노원구 공릉로 187, 건설빌딩 5층 (공릉동)"
6,서울,노원구,북부새일센터,02-3399-7699,서울특별시 노원구 동일로 207길 50(중계동)
7,서울,동대문구,동대문새일센터,02-921-2070,"서울특별시 동대문구 왕산로 60-1, 포은회관6,7층 (용두동)"
8,서울,서대문구,서대문새일센터,02-332-8661,"서울특별시 서대문구 신촌역로 10, 혜우빌딩 4층 (대현동)"
9,서울,서초구,서초새일센터,02-581-4433,"서울특별시 서초구 강남대로 216 2층 3호, 3층(양재동 프라자)"
10,서울,양천구,서부새일센터,02-2607-5638,"서울특별시 양천구 남부순환로 371,  (신월동)"
11,서울,은평구,은평새일센터,070-4048-6863,"서울특별시 은평구 녹번로 76, 은평여성새로일하기센터(은평여성인력개발센터)"
12,서울,종로구,종로새일센터,02-741-1326,"서울특별시 종로구 대학로11길 23, 스타시티빌딩2~4 (명륜4가)"
13,서울,중랑구,중랑새일센터,02-3409-1948,"서울특별시 중랑구 망우로32길 20, 대림프라자 (상봉동)"
14,서울,강서구,강서새일센터,070-4048-5653,"서울특별시 강서구 까치산로 134 화곡빌딩 2,5-7층 (화곡동)"
15,서울,강북구,강북새일센터,02-980-2377,"서울특별시 강북구 덕릉로 108, 현웅빌딩 3층 (미아동)"
16,서울,동작구,동작새일센터,02-525-1121,"서울특별시 동작구 사당로 299,  (사당동)"
17,서울,마포구,중부새일센터,02-719-6056,"서울특별시 마포구 토정로35길 17,  (용강동)"
18,서울,용산구,용산새일센터,02-714-9762,"서울특별시 용산구 청파로 139-21,  (신계동)"
19,서울,송파구,송파새일센터,02-430-6070,서울특별시 송파구 중대로 9길 34 (가락동)송파여성인력개발센터
20,서울,성북구,정릉새일센터,02-6229-1919,서울특별시 성북구 솔샘로5길 92
21,서울,중구,중구새일센터,02-2234-3130,서울특별시 중구 다산로 32길 5
22,서울,도봉구,도봉새일센터,02-956-9620,서울특별시 도봉구 방학로 12길 28
23,서울,광진구,동부새일센터,02-460-2300,"서울특별시 광진구 아차산로30길 36,  "
