번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),임산부정원수,영유아정원수,임산부실면적,영유아실면적,모유수유실면적,급식시설면적,세탁실면적,목욕실면적,조리원화장실면적,사무실면적,간호사수,간호조무사수,영양사수,취사부수,미화원수,기타인원수,건물층수,지상층수,지하층수,Unnamed: 47
1,산후조리업,01_01_04_P,3110000,PHMB120113110032042100003,2011-08-18,,2,휴업,2,휴업,,2025-03-06,2025-03-30,,,,122-819,서울특별시 은평구 구산동 1번지 24호  상원빌딩 5층,"서울특별시 은평구 서오릉로 145 (구산동,상원빌딩 5층)",,아쉐르 산후조리원 은평점,2025-03-06 13:52:51,U,2025-03-08 02:40:00,,192563.874496397,456570.084566278,24,24,263.41,44.5,12.5,46.5,12.5,76.18,0.0,8.32,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
2,산후조리업,01_01_04_P,3230000,PHMB120133230034042100001,2013-01-28,,2,휴업,2,휴업,,2021-05-21,2021-10-14,,02-420-5560,,138-849,서울특별시 송파구 송파1동 31번지 2호 현대레이크빌 2층,서울특별시 석촌호수로 284 (현대레이크빌 2층),05623,뉴더퀸산후조리원,2021-05-21 14:53:26,U,2021-05-23 02:40:00,,209389.696217302,445393.711556926,19,19,373.58,40.32,9.46,29.77,6.43,,14.59,8.69,4.0,10.0,,2.0,,,0.0,2.0,,
3,산후조리업,01_01_04_P,3230000,PHMB120163230034042100002,2016-10-05,,2,휴업,2,휴업,,2025-02-20,2025-04-30,,02-418-3727,,,,"서울특별시 송파구 백제고분로50길 7-7 (방이동, 한우리빌딩(3, 4, 5층))",05627,보네르아샤 산후조리원,2025-02-20 11:08:08,U,2025-02-22 02:40:00,,210151.390873614,445852.199143259,18,18,254.74,42.42,9.78,33.9,3.25,0.0,7.91,15.82,3.0,6.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,
4,산후조리업,01_01_04_P,4050000,PHMB120134050148042100001,2013-02-14,,2,휴업,2,휴업,,2015-08-24,2016-02-29,,031)889-9591,,446-913,경기도 용인시 기흥구 보정동 1261번지,경기도 용인시 기흥구 죽전로 2 (보정동),446-858,아이앤젤산후조리원,2015-08-24 14:00:45,I,2018-08-31 23:59:59,,209590.716224934,424244.825220836,16,16,322.59,40.5,14.0,72.0,19.5,2.8,2.1,18.5,3.0,14.0,,1.0,1.0,1.0,11.0,9.0,2.0,
5,산후조리업,01_01_04_P,4050000,PHMB120164050148042100001,2016-01-15,,2,휴업,2,휴업,,2024-04-15,2025-04-14,,,,,,"경기도 용인시 기흥구 죽전로 2, 현타워 9층 (보정동)",16897,(주)강남퀸즈산후조리원,2024-04-15 11:50:42,U,2024-04-17 02:40:00,,209590.716224934,424244.825220836,19,21,401.18,49.5,16.0,33.0,13.8,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,11.0,9.0,2.0,
6,산후조리업,01_01_04_P,3700000,PHMB120173700018042100001,2017-04-24,,2,휴업,2,휴업,,2025-04-08,2025-05-30,,0522722378,,,울산광역시 남구 달동 1341-3,"울산광역시 남구 번영로 160, 4층 (달동)",44703,리안산후조리원,2025-04-07 16:22:53,U,2025-04-09 02:40:00,,411021.45012869,229141.858864579,22,22,466.1,39.13,11.3,52.5,13.2,0.0,30.34,10.5,3.0,7.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,
7,산후조리업,01_01_04_P,5670000,PHMB120065270048042100003,2006-12-06,,2,휴업,2,휴업,,2024-08-01,2024-10-01,,055-276-6556,,641-847,경상남도 창원시 팔용동 33번지 7호  정우파티마빌딩 5층,"경상남도 창원시 의창구 창원대로397번길 34, 정우파티마빌딩 5층 (팔용동)",51393,파티맘산후조리원,2024-09-27 17:32:03,U,2024-09-29 02:40:00,,349547.569598894,194313.965906659,10,10,81.42,20.13,6.3,25.5,6.3,0.0,8.5,5.5,2.0,5.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,
8,산후조리업,01_01_04_P,3740000,PHMB120163740106042100001,2016-11-15,,2,휴업,2,휴업,,2024-01-02,2025-12-31,,031-215-7347,,,경기도 수원시 영통구 이의동 1221번지 3호,경기도 수원시 영통구 웰빙타운로36번길 46-229 (이의동),16223,(주)네이처스 품 산후조리원,2023-12-29 14:06:21,U,2023-12-31 02:40:00,,204830.331824811,423376.874392695,16,16,528.0,65.5,14.0,58.0,10.0,14.0,7.0,20.16,2.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,
9,산후조리업,01_01_04_P,3160000,PHMB120123160034042100001,2012-08-02,,2,휴업,2,휴업,,2025-04-25,2025-04-27,,2682-2400,,,서울특별시 구로구 오류동 159번지 삼성미래여성병원,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 오류동 3~6층 (오류동)",08342,미래 산후조리원,2025-04-22 09:33:35,U,2025-04-24 02:40:00,,185818.005782408,443237.927427791,18,18,133.0,22.41,11.85,31.32,8.0,0.0,0.0,19.36,4.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,
10,산후조리업,01_01_04_P,4390000,PHMB120094390029042100001,2009-04-17,,2,휴업,2,휴업,,2017-11-20,2018-11-20,,043-854-9401,,380-100,충청북도 충주시 연수동 1515번지 유성빌딩 5층,,,세란산후조리원,2017-11-21 09:40:12,I,2018-08-31 23:59:59,,,,9,9,9.2,22.2,3.3,,,,,,2.0,2.0,,1.0,,,0.0,,,
11,산후조리업,01_01_04_P,3780000,PHMB120143780064042100003,2014-10-15,,2,휴업,2,휴업,,2023-12-01,2025-11-30,,031-1811-8968,,,,"경기도 성남시 분당구 구미로9번길 7, 분당팬텀광장 (구미동)",13637,(주)배냇산후조리원,2024-11-29 14:11:23,U,2024-12-01 02:40:00,,209683.660425214,426357.622193133,29,29,736.5,59.4,24.7,33.5,31.1,0.0,160.9,10.9,3.0,6.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,
12,산후조리업,01_01_04_P,3220000,PHMB120073220033042100004,2007-03-06,,2,휴업,2,휴업,,2024-01-01,2024-12-31,,,,,서울특별시 강남구 역삼동 650번지 9호 강남차병원 3층,"서울특별시 강남구 논현로 566, 강남차병원 3층 (역삼동)",06135,차병원 산후조리원,2024-12-26 18:33:55,U,2024-12-28 02:40:00,,202979.308817323,444965.788565979,19,20,275.5,160.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,1.0,0.0,0.0,6.0,4.0,2.0,
