지역,업종,업소명,주소,전화번호,할인정보,할인유형,위도,경도,업데이트일자,원본파일,데이터유형
경기도 수원시 권선구,일반음식점,두툼돈288세류점,"경기도 수원시 권선구 효원로 82, 103,104,105호(세류동)",,10% 할인 (전 품목),음식점 할인,37.26675206,127.0107642,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 권선구,일반음식점,양치는아저씨1929 세류점,경기도 수원시 권선구 세지로 71(세류동),,20% 할인 (전 품목),음식점 할인,37.25830477,127.017333,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,김영란헤어,"경기도 수원시 영통구 영통로290번길 23, 상가 가동 1층 102호(영통동, 신나무실주공아파트)",,10% 할인 (커트/펌),미용 할인,37.2517754,127.0622818,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,댕기머리,"경기도 수원시 영통구 매영로 84, 108호(매탄동,한국아파트2차상가)",,10% 할인 (커트/펌),미용 할인,37.26819506,127.0500482,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,미스바헤어,"경기도 수원시 영통구 동탄원천로1109번길 37, 112호(매탄동, 한국아파트)",,10% 할인 (커트/펌),미용 할인,37.26957479,127.0569538,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,송화헤어라인,경기도 수원시 영통구 산남로 41(매탄동),,10% 할인 (커트/펌),미용 할인,37.26668234,127.0490638,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,오투헤어 광교점,"경기도 수원시 영통구 도청로18번길 26, 힐스테이트광교중앙역 3층 374호(이의동)",,10% 할인 (커트/펌),미용 할인,37.28764094,127.056864,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,지지고헤어,"경기도 수원시 영통구 반달로7번길 16, 301호(영통동)",,10% 할인 (커트/펌),미용 할인,37.25265457,127.0744001,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,하's뷰티샵,경기도 수원시 영통구 매영로 52(매탄동),,10% 할인 (커트/펌),미용 할인,37.26877543,127.0482595,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,화두헤어살롱,"경기도 수원시 영통구 매영로 423, 1층 (영통동)",,30% 할인 (전 품목),미용 할인,37.2488601,127.0777604,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
